Albaania;Tirana;al
Andorra;Andorra la Vella;ad
Armeenia;Jerevan;am
Austria;Viin;at
Aserbaidžaan;Bakuu;az
Belgia;Brüssel;be
Bosnia ja Hertsegoviina;Sarajevo;ba
Bulgaaria;Sofia;bg
Eesti;Tallinn;ee
Hispaania;Madrid;es
Holland;Amsterdam;nl
Horvaatia;Zagreb;hr
Iirimaa;Dublin;ie
Island;Reykjavík;is
Itaalia;Rooma;it
Kreeka;Ateena;gr
Küpros;Nikosia;cy
Leedu;Vilnius;lt
Liechtenstein;Vaduz;li
Luksemburg;Luksemburg;lu
Läti;Riia;lv
Makedoonia;Skopje;mk
Malta;Valletta;mt
Moldova;Chișinău;md
Monaco;Monaco;mc
Montenegro;Podgorica;me
Norra;Oslo;no
Poola;Varssavi;pl
Portugal;Lissabon;pt
Prantsusmaa;Pariis;fr
Rootsi;Stockholm;se
Rumeenia;Bukarest;ro
Saksamaa;Berliin;de
San Marino;San Marino;sm
Serbia;Belgrad;rs
Slovakkia;Bratislava;sk
Sloveenia;Ljubljana;si
Soome;Helsinki;fi
Suurbritannia;London;gb
Šveits;Bern;ch
Taani;Kopenhaagen;dk
Tšehhi;Praha;cz
Türgi;Ankara;tr
Ukraina;Kiiev;ua
Ungari;Budapest;hu
Valgevene;Minsk;by
Vatikan;Vatikan;va
Venemaa;Moskva;ru
